method,terms,threshold,recall,specificity,precision,fpr,precision_n
hypergeometric,4,4.629506818752329e-25,0.3325,0.998764525993884,0.13556721778314867,0.001235474006116208,90
hypergeometric,4,3.478054799834296e-24,0.335,0.9987210068219247,0.12794111853230475,0.001278993178075747,90
hypergeometric,4,2.088064639872609e-23,0.3425,0.9986781933662675,0.12493879684144889,0.0013218066337332395,90
hypergeometric,4,1.269998189768369e-22,0.3475,0.9986349094330752,0.11847736431656776,0.0013650905669254298,90
hypergeometric,4,5.21031684604931e-22,0.3525,0.9985916254998826,0.11552154702992207,0.0014083745001176196,90
hypergeometric,4,2.264700829682298e-21,0.3625,0.9985488120442247,0.10958969123748705,0.001451187955775112,90
hypergeometric,4,7.520972368745876e-21,0.3625,0.9985052928722653,0.10702329464239732,0.0014947071277346502,90
hypergeometric,4,2.68427824577474e-20,0.3625,0.9984613032227712,0.1051653836779892,0.0015386967772288874,90
hypergeometric,4,9.785225327958216e-20,0.3725,0.9984187250058806,0.10178357740209708,0.0015812749941190307,90
hypergeometric,4,3.151065017331013e-19,0.375,0.9983754410726884,0.09917274815741398,0.0016245589273112203,90
hypergeometric,4,9.776572046273925e-19,0.3775,0.9983319219007291,0.09545198071651834,0.0016680780992707589,90
hypergeometric,4,2.7468603338339853e-18,0.3875,0.9982893436838389,0.09726026414226493,0.001710656316160903,90
hypergeometric,4,8.624027682059995e-18,0.3925,0.9982458245118796,0.09473529002793274,0.0017541754881204427,90
hypergeometric,4,2.461314191981406e-17,0.395,0.9982025405786875,0.0929837795557506,0.0017974594213126325,90
hypergeometric,4,6.363412875223299e-17,0.4,0.9981594918842629,0.0925011717912748,0.0018405081157374728,90
hypergeometric,4,1.5888835704394546e-16,0.4,0.9981157374735358,0.08878931061697098,0.001884262526464361,90
hypergeometric,4,3.846493670656845e-16,0.4075,0.9980726887791112,0.08934272563241819,0.0019273112208892025,90
hypergeometric,4,8.565622921512492e-16,0.425,0.998030816278523,0.08948991643268604,0.001969183721477299,90
hypergeometric,4,1.955090733281422e-15,0.425,0.9979870618677961,0.08660618912715248,0.002012938132204188,90
hypergeometric,4,4.2615399567911065e-15,0.4325,0.9979440131733714,0.09608517578649464,0.0020559868266290283,91
hypergeometric,4,8.517425489427512e-15,0.4425,0.9979014349564814,0.09529353625236896,0.002098565043519172,91
hypergeometric,4,2.0383004390211876e-14,0.45,0.9978583862620565,0.08994563662245389,0.0021416137379440133,92
hypergeometric,4,4.314993368053252e-14,0.4575,0.9978153375676315,0.08830614565524562,0.0021846624323688547,92
hypergeometric,4,8.516377115807073e-14,0.4575,0.9977718183956719,0.08657578616734052,0.002228181604328394,92
